#,Position,Seniority Tier,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
1,Senior Data Engineer,Senior DE,5/15/2026,Y,5/20/2026,Yes,N,N
2,Senior Data Engineer,Senior DE,5/15/2026,,,,,
3,Senior Data Engineer,Senior DE,5/15/2026,Y,5/18/2026,Yes,,
4,Senior Data Engineer,Senior DE,5/15/2026,Y,5/18/2026,,,
5,Senior Data Engineer,Senior DE,5/15/2026,,,,,
6,Senior Data Engineer,Senior DE,5/15/2026,,,,,
7,Senior Data Engineer,Senior DE,5/15/2026,,,,,
8,Senior Data Engineer,Senior DE,5/15/2026,,,,,
9,Senior Data Engineer,Senior DE,5/15/2026,Y,5/18/2026,,,
10,Senior Data Engineer,Senior DE,5/15/2026,,,,,
11,Senior Data Engineer,Senior DE,5/15/2026,Y,5/19/2026,,,
12,Senior Data Engineer,Senior DE,5/15/2026,,,,,
13,Senior Data Engineer,Senior DE,5/15/2026,Y,5/27/2026,Yes,,
14,Senior Data Engineer,Senior DE,5/15/2026,,,,,
15,Senior Data Engineer,Senior DE,5/15/2026,Y,5/18/2026,Yes,Y,Y
16,Senior Data Engineer,Senior DE,5/15/2026,,,,,
17,Senior Data Engineer,Senior DE,,,,,,
18,Senior Data Engineer,Senior DE,5/15/2026,Y,5/18/2026,,,
19,Senior Data Engineer,Senior DE,,,,,,
20,Senior Data Engineer,Senior DE,5/15/2026,,,,,
21,Senior Data Engineer,Senior DE,5/15/2026,,,,,
22,Senior Data Engineer,Senior DE,5/15/2026,Y,5/20/2026,,,
23,Senior Data Engineer,Senior DE,5/15/2026,Y,5/18/2026,,,
24,Senior Data Engineer,Senior DE,5/15/2026,,,,,
25,Senior Data Engineer,Senior DE,5/15/2026,,,,,
26,Senior Data Engineer,Senior DE,,,,,,
27,Senior Data Engineer,Senior DE,5/15/2026,,,,,
28,Senior Data Engineer,Senior DE,5/15/2026,Y,5/18/2026,Yes,,
29,Senior Data Engineer,Senior DE,5/15/2026,,,,,
30,Senior Data Engineer,Senior DE,5/15/2026,,,,,
31,Senior Data Engineer,Senior DE,5/15/2026,,,,,
32,Senior Data Engineer,Senior DE,5/15/2026,,,,,
33,Senior Data Engineer,Senior DE,5/15/2026,,,,,
34,Senior Data Engineer,Senior DE,5/16/2026,,,,,
35,Senior Data Engineer,Senior DE,5/16/2026,Y,5/29/2026,,,
36,Senior Data Engineer,Senior DE,5/16/2026,,,,,
37,Senior Data Engineer,Senior DE,5/16/2026,Y,5/28/2026,,,
38,Senior Data Engineer,Senior DE,5/16/2026,Y,5/21/2026,,,
