#,Position,City,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
1,Lead Analytics Engineer,Chicago,5/25/2026,,,,,
2,Lead Analytics Engineer,Seattle,5/25/2026,,,,,
3,Lead Analytics Engineer,Portland,5/25/2026,,,,,
4,Senior Analytics Engineer,Denver,5/25/2026,,,,,
5,Lead Analytics Engineer,Charlotte,5/25/2026,,,,,
6,Lead Analytics Engineer,Concord,5/25/2026,,,,,
7,Lead Analytics Engineer,,5/25/2026,,,,,
8,Lead Analytics Engineer,Lockport,5/25/2026,,,,,
9,Lead Analytics Engineer,Aurora,5/25/2026,,,,,
10,Senior Analytics Engineer,Concord,5/25/2026,Y,5/26/2026,,,
11,Lead Analytics Engineer,Lower Merion Township,5/25/2026,,,,,
12,Senior Analytics Engineer,McKinney,5/25/2026,,,,,
13,Lead Analytics Engineer,Denver,5/25/2026,,,,,
14,Lead Analytics Engineer,Seattle,5/25/2026,,,,,
15,Lead Analytics Engineer,San Francisco,5/25/2026,Y,,,,
16,Lead Analytics Engineer/Data Engineer,Austin,5/25/2026,,,,,
17,Lead Analytics Engineer,Los Angeles,5/25/2026,,,,,
18,Lead Analytics Engineer,,5/25/2026,,,,,
19,Lead Analytics Engineer,New York,5/25/2026,,,,,
20,Senior Analytics Engineer,New York,5/25/2026,,,,,
21,Senior Analytics Engineer,Atlanta,,,,,,
22,Senior Analytics Engineer,Los Angeles,5/25/2026,,,,,
23,Senior Analytics Engineer,Boston,5/25/2026,,,,,
24,Senior Analytics Engineer,West Hollywood,5/25/2026,,,,,
25,Senior Analytics Engineer,New York,5/25/2026,Y,5/26/2026,,,
26,Senior Analytics Engineer,Minneapolis,5/25/2026,Y,5/26/2026,,,
27,Senior Analytics Engineer,Seattle,5/25/2026,,,,,
28,Senior Analytics Engineer,Austin,5/25/2026,,,,,
29,Senior Analytics Engineer,Atlanta,5/25/2026,,,,,
30,Senior Analytics Engineer,Los Angeles,,,,,,
31,Senior Analytics Engineer,Champaign,5/25/2026,,,,,
32,Senior Analytics Engineer,Austin,5/25/2026,,,,,
33,Senior Analytics Engineer,Jersey City,5/26/2026,,,,,
34,Senior Analytics Engineer,New York,5/26/2026,,,,,
35,Senior Analytics Engineer,San Francisco,5/26/2026,,,,,
36,Senior Analytics Engineer,Henderson,5/26/2026,,,,,
37,Senior Analytics Engineer,Chicago,5/26/2026,,,,,
38,Senior Analytics Engineer,Los Angeles,5/26/2026,Y,5/26/2026,,,
39,Senior Analytics Engineer,Pittsburgh,5/26/2026,,,,,
40,Senior Analytics Engineer,Jersey City,5/26/2026,,,,,
41,Senior Analytics Engineer,Oakland,5/26/2026,,,,,
42,Senior Analytics Engineer,Boston,5/26/2026,,,,,
43,Senior Analytics Engineer,Los Angeles,5/26/2026,,,,,
44,Senior Analytics Engineer,Niceville,5/26/2026,,,,,
45,Senior Analytics Engineer,Houston,5/26/2026,,,,,
46,Senior Analytics Engineer,San Diego,5/26/2026,Y,5/28/2026,Yes,Y,Y
47,Senior Analytics Engineer,Cambridge,5/26/2026,,,,,
48,Senior Analytics Engineer,,5/26/2026,,,,,
49,Senior Analytics Engineer,San Diego,5/26/2026,Y,5/29/2026,,,
50,Senior Analytics Engineer,,5/26/2026,,,,,
51,Senior Analytics Engineer,,5/26/2026,,,,,
52,Senior Analytics Engineer,New York,5/26/2026,,,,,
53,Senior Analytics Engineer,Atlanta,,,,,,
54,Senior Analytics Engineer,New York,5/26/2026,Y,5/27/2026,,,
55,Senior Analytics Engineer,Rutherford,5/26/2026,,,,,
56,Senior Analytics Engineer,Philadelphia,5/26/2026,,,,,
57,Senior Analytics Engineer,Boston,5/26/2026,,,,,
58,Senior Analytics Engineer,Raleigh,5/26/2026,,,,,
59,Senior Analytics Engineer,Boston,5/26/2026,,,,,
60,Senior Analytics Engineer,New York,5/26/2026,,,,,
61,Senior Analytics Engineer,Denver,5/26/2026,,,,,
62,Senior Analytics Engineer,Kirkland,5/26/2026,,,,,
63,Senior Analytics Engineer,Dallas,5/26/2026,Y,5/26/2026,Yes,Y,Y
64,Senior Analytics Engineer,New York,5/27/2026,,,,,
65,Senior Analytics Engineer,Seattle,5/27/2026,,,,,
66,Senior Analytics Engineer,Austin,5/27/2026,,,,,
67,Senior Analytics Engineer,New York,5/27/2026,,,,,
68,Senior Analytics Engineer,Boston,5/27/2026,Y,5/28/2026,Yes,Y,
69,Senior Analytics Engineer,Dallas,5/27/2026,,,,,
70,Senior Analytics Engineer,Louisville,5/27/2026,,,,,
71,Senior Analytics Engineer,Chapel Hill,5/27/2026,,,,,
72,Senior Analytics Engineer,Atlanta,5/27/2026,Y,5/27/2026,Yes,Y,Y
73,Senior Analytics Engineer,Chicago,5/27/2026,,,,,
74,Senior Analytics Engineer,Medford,5/27/2026,,,,,
75,Senior Analytics Engineer,,5/27/2026,,,,,
76,Senior Analytics Engineer,Portland,5/27/2026,,,,,
77,Senior Analytics Engineer,Philadelphia,5/27/2026,,,,,
78,Senior Analytics Engineer,Washington,5/27/2026,,,,,
79,Senior Analytics Engineer,New York,5/27/2026,,,,,
80,Senior Analytics Engineer,Austin,5/27/2026,,,,,
81,Senior Analytics Engineer,New York,5/27/2026,,,,,
82,Senior Analytics Engineer,Denver,5/27/2026,,,,,
83,Senior Analytics Engineer,Longmont,5/27/2026,Y,5/27/2026,,,
84,Senior Analytics Engineer,New York,5/27/2026,,,,,
85,Senior Analytics Engineer,Austin,5/27/2026,Y,5/29/2026,Yes,,
86,Senior Analytics Engineer,San Jose,5/27/2026,,,,,
87,Senior Analytics Engineer,Los Angeles,5/27/2026,,,,,
88,Senior Analytics Engineer,San Diego,5/27/2026,,,,,
89,Senior Analytics Engineer,,5/27/2026,,,,,
90,Senior Analytics Engineer,Boston,,,,,,
91,Senior Analytics Engineer,,5/27/2026,Y,5/28/2026,,,
92,Senior Analytics Engineer,Boston,5/27/2026,,,,,
93,Senior Analytics Engineer,Nashville,5/27/2026,,,,,
94,Senior Analytics Engineer,Durango,5/27/2026,,,,,
95,Senior Analytics Engineer,Austin,5/27/2026,,,,,
96,Senior Analytics Engineer,,5/27/2026,,,,,
97,Senior Analytics Engineer,,5/27/2026,Y,5/27/2026,,,
98,Data & Analytics Engineer,Fort Atkinson,5/27/2026,,,,,
99,Data Analytics Engineer,Roanoke,5/27/2026,,,,,
100,Senior Analytics Engineer,Boston,5/28/2026,,,,,
101,Data Analytics Engineer,Colorado Springs,5/28/2026,,,,,
102,Senior Analytics Engineer,New York,5/28/2026,,,,,
103,Data Analytics Engineer,Littleton,5/28/2026,,,,,
104,Data Analytics Engineer,St. Paris,5/28/2026,,,,,
