#,Position,City,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
1,"CTO, Co Founder","Plano, Texas",6/8,,,,,
2,Co-Founder & CTO,"Milpitas, California",6/8,,,,,
3,Co-Founder,"Columbus, Ohio",6/8,Y,6/8,,,
4,Co-Founder & CEO,California,6/8,Y,6/8,,,
5,"Co-Founder, CTO","Austin, Texas",6/8,,,,,
6,Co-Founder & CTO,"Chicago, Illinois",6/8,,,,,
7,"CEO, Co-Founder","Orlando, Florida",6/8,,,,,
8,Co-Founder & CTO,Georgia,6/8,,,,,
9,Co-founder & CEO,"Houston, Texas",6/8,,,,,
10,Co-Founder & CEO,"Los Angeles, California",6/8,Y,6/8,,,
11,CTO & Co-founder,"Washington, District of Columbia",6/8,,,,,
12,CEO & Co-Founder,"Mountain View, California",6/8,,,,,
13,Co-Founder & CEO,"San Diego, California",6/8,,,,,
14,Co-Founder & CTO,"Dallas, Texas",6/8,,,,,
15,Co-Founder & CTO,"Austin, Texas",6/8,,,,,
16,Co-founder and CTO,"San Francisco, California",6/8,,,,,
17,CEO & Co-Founder,"San Francisco, California",6/8,,,,,
18,CEO & Co-Founder,"Miami, Florida",6/8,,,,,
19,Co-Founder & CEO,"Palo Alto, California",6/8,,,,,
20,Co-founder & CEO,"Boston, Massachusetts",6/8,,,,,
21,Co-Founder,"Crofton, Maryland",6/8,,,,,
22,Co-Founder & CEO,"Chicago, Illinois",6/8,,,,,
23,Co-Founder & CTO,"New York, New York",6/8,,,,,
24,"CTO, Co-founder","New York, New York",6/8,,,,,
25,Co-Founder & CEO,"Cupertino, California",6/8,Y,6/8,,,
26,Co-Founder & CEO,"San Francisco, California",6/8,,,,,
27,Co-founder & CEO,"San Francisco, California",6/8,,,,,
28,Co-Founder,"Mountain View, California",6/8,,,,,
29,Co-Founder & CTO,"San Francisco, California",,,,,,
30,Co-Founder & CEO,"Boulder, Colorado",6/8,,,,,
31,Co-Founder & CTO,"San Francisco, California",6/8,,,,,
32,Co-Founder / CTO,"Idaho Falls, Idaho",6/8,,,,,
33,CTO & Founder,"San Francisco, California",6/8,,,,,
34,Co-founder & CEO,California,6/8,,,,,
35,"Co-founder, CTO","San Jose, California",6/8,,,,,
36,Co-Founder | CEO,"Menlo Park, California",6/8,Y,6/12,,,
37,Co-Founder,"San Francisco, California",,,,,,
38,Co-Founder,"Manhattan Beach, California",6/8,Y,6/8,,,
39,Co-Founder & CTO,"Chicago, Illinois",6/8,,,,,
40,"Co-Founder, CEO","Cambridge, Massachusetts",6/8,,,,,
41,CTO & Co-Founder,California,6/8,,,,,
42,"CEO, Co-Founder","San Francisco, California",6/8,,,,,
43,Co-Founder & CEO,"New York, New York",6/8,,,,,
44,Co-Founder & CEO,,6/8,,,,,
45,Co-Founder & CEO,California,6/8,,,,,
46,Co-Founder,"Cincinnati, Ohio",6/8,,,,,
47,Co-Founder & CTO,"Boston, Massachusetts",6/8,,,,,
48,Co-founder & CEO,"Boston, Massachusetts",6/8,,,,,
49,Co-Founder & CEO,"Fort Lauderdale, Florida",6/8,,,,,
50,CEO & Co-founder,"Boston, Massachusetts",6/8,,,,,
51,CEO | Co-Founder,"New York, New York",6/8,Y,6/9,,,
52,Co-Founder and CTO,"Herndon, Virginia",6/8,,,,,
53,"Co-founder, CTO","Boston, Massachusetts",6/9,,,,,
54,Co-Founder & CEO,"Cleveland, Ohio",6/9,,,,,
55,"Co-Founder, CTO","San Francisco, California",6/9,,,,,
56,"Co-Founder, CTO","Bengaluru, California",6/9,Y,6/10,,,
57,"Co-Founder, CTO","Palo Alto, California",6/9,,,,,
58,"Co-Founder, CTO","San Francisco, California",,,,,,
59,CTO & Co Founder,"New York, New York",6/9,Y,6/12,,,
60,"VP of Engineering, Co-Founder","Redmond, Washington",6/9,Y,6/10,,,
61,Co-Founder/CEO,"Palo Alto, California",6/9,,,,,
62,Co-Founder,"Allentown, Pennsylvania",6/9,,,,,
63,Co-Founder & CTO,California,6/9,,,,,
64,Co-founder & CEO,"Pittsburgh, Pennsylvania",6/9,Y,6/9,,,
65,Co-Founder & CEO,"Boston, Massachusetts",6/9,,,,,
66,CTO / Co-Founder,"Apopka, Florida",6/9,,,,,
67,Co-Founder & CEO,"New York, New York",6/9,Y,6/9,,,
68,Co-Founder,"New York, New York",6/9,,,,,
69,Co-Founder & CTO,"Los Altos, California",6/9,,,,,
70,Co-Founder,"New York, New York",6/9,Y,6/10,,,
71,Co-Founder & CEO,"Boston, Massachusetts",6/9,,,,,
72,Co-Founder & CTO,"Seattle, Washington",6/9,,,,,
73,Co-Founder / CTO,"San Francisco, California",6/9,,,,,
74,Co-Founder CEO,"New York, New York",6/9,Y,6/10,,,
75,"CEO, Co-Founder","Eugene, Oregon",6/9,,,,,
76,"Co-founder, CTO","Berkeley, California",6/9,,,,,
77,Co-Founder & CTO,"Los Angeles, California",6/9,,,,,
78,"Co-founder, CTO","New York, New York",6/9,,,,,
79,Co-Founder & CTO,"Milwaukee, Wisconsin",6/9,,,,,
80,CTO & Co-founder,"Los Angeles, California",6/9,,,,,
81,CEO & Co-Founder,Illinois,6/9,,,,,
